Episode 190, Reward: 0.044999994337558746, Avg Critic Loss: 0.0335, Avg Actor Loss: -1.9774, Avg Alpha Loss: -0.6554
Episode 191, Reward: 0.04999999329447746, Avg Critic Loss: 0.0370, Avg Actor Loss: -1.9771, Avg Alpha Loss: -0.6581
Episode 192, Reward: 0.15999998152256012, Avg Critic Loss: 0.0330, Avg Actor Loss: -1.9847, Avg Alpha Loss: -0.6558
Episode 193, Reward: 0.059999991208314896, Avg Critic Loss: 0.0364, Avg Actor Loss: -1.9828, Avg Alpha Loss: -0.6573
Episode 194, Reward: 0.044999994337558746, Avg Critic Loss: 0.0330, Avg Actor Loss: -1.9896, Avg Alpha Loss: -0.6558
Episode 195, Reward: 0.059999991208314896, Avg Critic Loss: 0.0331, Avg Actor Loss: -2.0051, Avg Alpha Loss: -0.6571
Episode 196, Reward: 0.03999999538064003, Avg Critic Loss: 0.0426, Avg Actor Loss: -2.0108, Avg Alpha Loss: -0.6536
Episode 197, Reward: 0.06499999016523361, Avg Critic Loss: 0.0317, Avg Actor Loss: -2.0284, Avg Alpha Loss: -0.6558
Episode 198, Reward: 0.06999999284744263, Avg Critic Loss: 0.0319, Avg Actor Loss: -2.0488, Avg Alpha Loss: -0.6554
Episode 199, Reward: 0.03999999538064003, Avg Critic Loss: 0.0314, Avg Actor Loss: -2.0438, Avg Alpha Loss: -0.6556
Episode 200, Reward: 0.04999999329447746, Avg Critic Loss: 0.0392, Avg Actor Loss: -2.0395, Avg Alpha Loss: -0.6543
Episode 201, Reward: 0.059999991208314896, Avg Critic Loss: 0.0508, Avg Actor Loss: -2.0360, Avg Alpha Loss: -0.6578
