Episode 78, Reward: 10.0, Avg Critic Loss: 0.0000, Avg Actor Loss: 0.0000, Avg Alpha Loss: 0.0000Updates: 0
Episode 79, Reward: 12.0, Avg Critic Loss: 1.3395, Avg Actor Loss: -1.0203, Avg Alpha Loss: -0.5939Updates: 2
Episode 80, Reward: 16.0, Avg Critic Loss: 0.0174, Avg Actor Loss: -1.4347, Avg Alpha Loss: -0.6326Updates: 18
Episode 81, Reward: 9.0, Avg Critic Loss: 0.0390, Avg Actor Loss: -1.7653, Avg Alpha Loss: -0.6395Updates: 27
Episode 82, Reward: 18.0, Avg Critic Loss: 0.0885, Avg Actor Loss: -2.0406, Avg Alpha Loss: -0.6425Updates: 45
Episode 83, Reward: 12.0, Avg Critic Loss: 0.1450, Avg Actor Loss: -2.2615, Avg Alpha Loss: -0.6423Updates: 57
Episode 84, Reward: 20.0, Avg Critic Loss: 0.2168, Avg Actor Loss: -2.4153, Avg Alpha Loss: -0.6436Updates: 77
Episode 85, Reward: 10.0, Avg Critic Loss: 0.2468, Avg Actor Loss: -2.5346, Avg Alpha Loss: -0.6490Updates: 87
Episode 86, Reward: 19.0, Avg Critic Loss: 0.3159, Avg Actor Loss: -2.6567, Avg Alpha Loss: -0.6464Updates: 106
Episode 87, Reward: 9.0, Avg Critic Loss: 0.3998, Avg Actor Loss: -2.7552, Avg Alpha Loss: -0.6534Updates: 115
Episode 88, Reward: 10.0, Avg Critic Loss: 0.4195, Avg Actor Loss: -2.8552, Avg Alpha Loss: -0.6555Updates: 125
Episode 89, Reward: 9.0, Avg Critic Loss: 0.4463, Avg Actor Loss: -2.9090, Avg Alpha Loss: -0.6537Updates: 134
Episode 90, Reward: 8.0, Avg Critic Loss: 0.4909, Avg Actor Loss: -2.9919, Avg Alpha Loss: -0.6586Updates: 142
Episode 91, Reward: 15.0, Avg Critic Loss: 0.5483, Avg Actor Loss: -3.0736, Avg Alpha Loss: -0.6622Updates: 157
Episode 92, Reward: 9.0, Avg Critic Loss: 0.5792, Avg Actor Loss: -3.1722, Avg Alpha Loss: -0.6638Updates: 166
Episode 93, Reward: 12.0, Avg Critic Loss: 0.6330, Avg Actor Loss: -3.2587, Avg Alpha Loss: -0.6612Updates: 178
