Episode 114, Reward: 0.044999994337558746, Avg Critic Loss: 0.0086, Avg Actor Loss: -0.9949, Avg Alpha Loss: -3.9125
Episode 115, Reward: 0.10000000894069672, Avg Critic Loss: 0.0075, Avg Actor Loss: -1.0138, Avg Alpha Loss: -3.9147
Episode 116, Reward: 0.08500000089406967, Avg Critic Loss: 0.0084, Avg Actor Loss: -1.0352, Avg Alpha Loss: -3.9116
Episode 117, Reward: 0.05499999225139618, Avg Critic Loss: 0.0081, Avg Actor Loss: -1.0482, Avg Alpha Loss: -3.9090
Episode 118, Reward: 0.03999999538064003, Avg Critic Loss: 0.0095, Avg Actor Loss: -1.0622, Avg Alpha Loss: -3.9139
Episode 119, Reward: 0.1300000101327896, Avg Critic Loss: 0.0079, Avg Actor Loss: -1.0857, Avg Alpha Loss: -3.9075
Episode 120, Reward: 0.059999991208314896, Avg Critic Loss: 0.0087, Avg Actor Loss: -1.1178, Avg Alpha Loss: -3.9010
Episode 121, Reward: 0.03999999538064003, Avg Critic Loss: 0.0145, Avg Actor Loss: -1.1038, Avg Alpha Loss: -3.8975
Episode 122, Reward: 0.04999999329447746, Avg Critic Loss: 0.0109, Avg Actor Loss: -1.1399, Avg Alpha Loss: -3.9046
Episode 123, Reward: 0.04999999329447746, Avg Critic Loss: 0.0098, Avg Actor Loss: -1.1412, Avg Alpha Loss: -3.8949
Episode 124, Reward: 0.044999994337558746, Avg Critic Loss: 0.0094, Avg Actor Loss: -1.1592, Avg Alpha Loss: -3.8978
Episode 125, Reward: 0.059999991208314896, Avg Critic Loss: 0.0105, Avg Actor Loss: -1.1659, Avg Alpha Loss: -3.8944
Episode 126, Reward: 0.15999998152256012, Avg Critic Loss: 0.0091, Avg Actor Loss: -1.1932, Avg Alpha Loss: -3.8923
Episode 127, Reward: 0.06499999016523361, Avg Critic Loss: 0.0080, Avg Actor Loss: -1.2217, Avg Alpha Loss: -3.8842
Episode 128, Reward: 0.13500000536441803, Avg Critic Loss: 0.0105, Avg Actor Loss: -1.2403, Avg Alpha Loss: -3.8874
Episode 129, Reward: 0.05499999225139618, Avg Critic Loss: 0.0103, Avg Actor Loss: -1.2607, Avg Alpha Loss: -3.8804
Episode 130, Reward: 0.10500001162290573, Avg Critic Loss: 0.0087, Avg Actor Loss: -1.2849, Avg Alpha Loss: -3.8797
Episode 131, Reward: 0.14499999582767487, Avg Critic Loss: 0.0106, Avg Actor Loss: -1.3086, Avg Alpha Loss: -3.8756
Episode 132, Reward: 0.05499999225139618, Avg Critic Loss: 0.0091, Avg Actor Loss: -1.3330, Avg Alpha Loss: -3.8762
Episode 133, Reward: 0.07499999552965164, Avg Critic Loss: 0.0115, Avg Actor Loss: -1.3463, Avg Alpha Loss: -3.8806
Episode 134, Reward: 0.059999991208314896, Avg Critic Loss: 0.0079, Avg Actor Loss: -1.3723, Avg Alpha Loss: -3.8735
Episode 135, Reward: 0.03999999538064003, Avg Critic Loss: 0.0112, Avg Actor Loss: -1.3759, Avg Alpha Loss: -3.8746
Episode 136, Reward: 0.07999999821186066, Avg Critic Loss: 0.0106, Avg Actor Loss: -1.3943, Avg Alpha Loss: -3.8724
Episode 137, Reward: 0.07499999552965164, Avg Critic Loss: 0.0114, Avg Actor Loss: -1.4165, Avg Alpha Loss: -3.8707
Episode 138, Reward: 0.06999999284744263, Avg Critic Loss: 0.0099, Avg Actor Loss: -1.4293, Avg Alpha Loss: -3.8628
Episode 139, Reward: 0.08500000089406967, Avg Critic Loss: 0.0102, Avg Actor Loss: -1.4457, Avg Alpha Loss: -3.8597
Episode 140, Reward: 0.06499999016523361, Avg Critic Loss: 0.0087, Avg Actor Loss: -1.4616, Avg Alpha Loss: -3.8660
Episode 141, Reward: 0.04999999329447746, Avg Critic Loss: 0.0097, Avg Actor Loss: -1.4695, Avg Alpha Loss: -3.8594
Episode 142, Reward: 0.09000000357627869, Avg Critic Loss: 0.0091, Avg Actor Loss: -1.4966, Avg Alpha Loss: -3.8575
Episode 143, Reward: 0.059999991208314896, Avg Critic Loss: 0.0133, Avg Actor Loss: -1.5019, Avg Alpha Loss: -3.8601
Episode 144, Reward: 0.12000001966953278, Avg Critic Loss: 0.0119, Avg Actor Loss: -1.5303, Avg Alpha Loss: -3.8583
Episode 145, Reward: 0.06499999016523361, Avg Critic Loss: 0.0135, Avg Actor Loss: -1.5416, Avg Alpha Loss: -3.8545
Episode 146, Reward: 0.03999999538064003, Avg Critic Loss: 0.0137, Avg Actor Loss: -1.5586, Avg Alpha Loss: -3.8458
Episode 147, Reward: 0.059999991208314896, Avg Critic Loss: 0.0141, Avg Actor Loss: -1.5677, Avg Alpha Loss: -3.8502
Episode 148, Reward: 0.11000001430511475, Avg Critic Loss: 0.0121, Avg Actor Loss: -1.5955, Avg Alpha Loss: -3.8469
Episode 149, Reward: 0.06499999016523361, Avg Critic Loss: 0.0128, Avg Actor Loss: -1.6116, Avg Alpha Loss: -3.8610
Episode 150, Reward: 0.04999999329447746, Avg Critic Loss: 0.0128, Avg Actor Loss: -1.6328, Avg Alpha Loss: -3.8406
Episode 151, Reward: 0.1250000149011612, Avg Critic Loss: 0.0141, Avg Actor Loss: -1.6466, Avg Alpha Loss: -3.8545
Episode 152, Reward: 0.06499999016523361, Avg Critic Loss: 0.0148, Avg Actor Loss: -1.6573, Avg Alpha Loss: -3.8422
