Episode 137, Reward: 0.06499999016523361, Avg Critic Loss: 0.0197, Avg Actor Loss: -1.4167, Avg Alpha Loss: -0.6831
Episode 138, Reward: 0.16999997198581696, Avg Critic Loss: 0.0173, Avg Actor Loss: -1.4448, Avg Alpha Loss: -0.6837
Episode 139, Reward: 0.05499999225139618, Avg Critic Loss: 0.0309, Avg Actor Loss: -1.4500, Avg Alpha Loss: -0.6816
Episode 140, Reward: 0.06499999016523361, Avg Critic Loss: 0.0241, Avg Actor Loss: -1.4692, Avg Alpha Loss: -0.6840
Episode 141, Reward: 0.059999991208314896, Avg Critic Loss: 0.0246, Avg Actor Loss: -1.5074, Avg Alpha Loss: -0.6821
Episode 142, Reward: 0.06999999284744263, Avg Critic Loss: 0.0179, Avg Actor Loss: -1.5259, Avg Alpha Loss: -0.6859
Episode 143, Reward: 0.03999999538064003, Avg Critic Loss: 0.0186, Avg Actor Loss: -1.5404, Avg Alpha Loss: -0.6842
Episode 144, Reward: 0.06499999016523361, Avg Critic Loss: 0.0156, Avg Actor Loss: -1.5495, Avg Alpha Loss: -0.6855
Episode 145, Reward: 0.06499999016523361, Avg Critic Loss: 0.0162, Avg Actor Loss: -1.5727, Avg Alpha Loss: -0.6861
Episode 146, Reward: 0.08500000089406967, Avg Critic Loss: 0.0175, Avg Actor Loss: -1.5728, Avg Alpha Loss: -0.6851
Episode 147, Reward: 0.06499999016523361, Avg Critic Loss: 0.0184, Avg Actor Loss: -1.5897, Avg Alpha Loss: -0.6845
Episode 148, Reward: 0.04999999329447746, Avg Critic Loss: 0.0202, Avg Actor Loss: -1.6010, Avg Alpha Loss: -0.6854
Episode 149, Reward: 0.03999999538064003, Avg Critic Loss: 0.0266, Avg Actor Loss: -1.6192, Avg Alpha Loss: -0.6857
Episode 150, Reward: 0.09000000357627869, Avg Critic Loss: 0.0211, Avg Actor Loss: -1.6305, Avg Alpha Loss: -0.6875
Episode 151, Reward: 0.04999999329447746, Avg Critic Loss: 0.0193, Avg Actor Loss: -1.6527, Avg Alpha Loss: -0.6856
Episode 152, Reward: 0.044999994337558746, Avg Critic Loss: 0.0262, Avg Actor Loss: -1.6585, Avg Alpha Loss: -0.6889
Episode 153, Reward: 0.03999999538064003, Avg Critic Loss: 0.0213, Avg Actor Loss: -1.6800, Avg Alpha Loss: -0.6916
Episode 154, Reward: 0.06499999016523361, Avg Critic Loss: 0.0208, Avg Actor Loss: -1.6767, Avg Alpha Loss: -0.6873
